Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
41.5,7.6,-3.08,-1.906
41.7,1.66,-2.52,-2.42
41.8,-2.94,0.702,0.248
42,-10.26,7.4,6.06
42.1,-13.12,7.68,5.72
42.3,-1.192,-2.98,-2.52
42.4,13.16,-9.28,-6.08
42.6,13.72,-6.28,-3.2
42.7,3.08,-0.366,-1.352
42.9,-2.62,4.06,0.556
43,-1.41,2.96,2.6
43.2,-5.32,1.13,2.7
43.3,-10.4,2.64,2.3
43.5,-6.18,2.9,1.512
43.6,3.58,0.1604,-0.318
43.8,8.38,-3.6,-3
44,3.84,-3.5,-3.28
44.1,-2.08,0.518,0.904
44.3,-3.48,1.854,3.24
44.4,-1.946,0.626,0.552
44.6,6.56,-4.08,-4.08
44.7,14.78,-8.82,-6.24
44.9,3.44,-0.906,-0.724
45,-17.52,12.38,7.12
45.2,-16.7,12.18,7.48
45.3,4.54,-0.652,1.72
45.5,11.06,-10.1,-4.02
45.6,-2.54,-6.74,-5
45.8,-6.26,1.724,-0.868
45.9,1.252,5.78,2.58
46.1,2.94,2.9,1.744
46.2,3.3,-4.08,-1.486
46.4,7.72,-6.74,-3.6
46.5,9.14,-4.04,-2.64
46.7,1.104,1.064,0.1432
46.8,-9.54,6.38,2.16
47,-13.12,6.18,3.4
47.1,-11.24,4.14,5.06
47.3,-2.14,2.42,3.7
47.4,8.96,-4.18,-2.32
47.6,7.02,-7.36,-5.86
47.7,2.3,-4.12,-5.04
47.9,6.24,-2.46,-3.02
48,5.24,0.592,1.798
48.2,-4.26,4.54,5.2
48.3,-10.8,5.34,3.42
48.5,-5.76,3.48,0.924
48.6,6.6,-3.5,-2.98
48.8,10.76,-7.52,-5.44
48.9,3.44,0.266,0.812
49.1,-6.28,8.08,7.18
49.2,-9.2,3.32,2.86
49.4,-3.16,-8.18,-5.86
49.5,-0.1716,-7.22,-5.34
49.7,-0.918,5.42,2.02
49.8,6.84,5.62,1.404
50,12.88,-2.88,-1.576
50.1,2.76,-1.356,3.04
50.3,-13.42,5.2,6.02
50.4,-14.38,3.94,0.86
50.6,3.16,-7.3,-7.92
50.7,11.86,-10.54,-8.54
50.9,2.72,2.5,2.56
51,-1.08,9.22,8.52
51.2,1.136,2.9,3.18
51.4,-4.9,-0.324,-0.01388
51.5,-7.98,-0.0634,-0.54
51.7,5.4,-3.82,-5.22
51.8,11.52,-5.62,-6.42
52,-4.5,1.186,1.904
52.1,-7.72,6.18,7.66
52.3,7.86,0.692,2.42
52.4,4.06,-2.68,-2.14
52.6,-11.78,2.24,-0.236
52.7,-7.44,4.1,0.43
52.9,5.36,-2.84,-1.582
53,6.58,-11.56,-5.66
53.2,6.1,-9.12,-8.08
53.3,8.52,5.52,0.512
53.5,-1.62,16.22,12.86
53.6,-20.2,10.92,12.14
53.8,-18.68,-3.14,1.542
53.9,4.6,-8.38,-6.14
54.1,19.92,-6.54,-10.68
54.2,15.32,-11.44,-13.86
54.4,4.76,-9.24,-5.02
54.5,-7.34,10.88,13.72
54.7,-23.6,25,19.84
54.8,-19.8,16.08,8.12
55,15.78,-7.06,-7.26
55.1,37.4,-20.8,-12.98
55.3,15.18,-9.56,-3.3
55.4,-20.8,8.68,6.76
55.6,-31.8,7.36,1.466
55.7,-9.22,-9.16,-8.26
55.9,16.22,-15.34,-8.94
56,19,-4.76,-4.8
56.2,8.82,4,0.41
56.3,-8.1,9.62,9.66
56.5,-23,17.24,14.22
56.6,-16.52,10.9,4.38
56.8,4.96,-7.4,-5.88
56.9,20.8,-12.34,-2.88
57.1,17.9,2.16,5.72
57.2,-0.666,14.1,8.9
57.4,-11.42,2.56,-1.436
57.5,-3.26,-17.68,-17.56
57.7,13.32,-19.7,-16.78
57.8,11,-5.02,-0.958
58,-20.6,9.28,6.44
58.1,-32,9.24,0.772
58.3,6.26,-2.26,-2.7
58.4,33.4,-2.88,7.42
58.6,4.04,16.06,24
58.8,-29.6,29.6,25.4
58.9,-10.48,3.28,-5
59.1,30.8,-46,-46.4
59.2,29.2,-43.6,-42.4
59.4,-19.28,20.2,15.5
59.5,-44.8,56.6,54
59.7,-5.16,20.2,26.8
59.8,42.6,-28.2,-22.2
60,31.2,-28,-31
60.1,-18.36,-1.688,-4.34
60.3,-42.8,2.6,6.56
60.4,-16.46,-10.34,-7
60.6,24,-8.74,-9.28
60.7,28.2,13.14,8.78
60.9,4.82,27.2,21.2
61,-12.26,12.04,11.96
61.2,-15.84,-8.04,-5.6
61.3,-0.151,-9.96,-12.32
61.5,17.32,-7.98,-7.72
61.6,3.08,-5.84,1.046
61.8,-15.2,-0.892,4.54
61.9,1.468,2.98,0.55
62.1,19.04,10.06,4.12
62.2,1.288,8.72,10.24
62.4,-23.8,-7.74,-1.966
62.5,-19.5,-16.2,-20.8
62.7,4.34,-6.54,-21.2
62.8,19.22,9.56,3.74
63,15.18,18.24,34.2
63.1,-6.02,8.38,28.6
63.3,-20,-9.64,-12.88
63.4,-2.62,-13.02,-35
63.6,19.98,-4.32,-13.3
63.7,8.62,-0.1298,16.34
63.9,-23.4,-0.0574,14.2
64,-20,1.638,-9.6
64.2,29.8,-0.1194,-15.18
64.3,59.4,-0.92,8.04
64.5,21,7.02,28.4
64.6,-51.6,11.02,12.86
64.8,-81.2,6.82,-17.8
64.9,-29.4,3.5,-18.34
65.1,41.4,-4.34,-0.676
65.2,48.8,-19.76,-0.912
65.4,6.52,-25.8,-9.64
65.5,-16.32,-4.4,-1.818
65.7,0.95,27.4,13.48
65.9,18.74,30,16.56
66,10.66,0.0404,9.88
66.2,-4.52,-25.6,-2.24
66.3,-11.24,-14.72,-17.18
66.5,-14.86,10.56,-20.8
66.6,-14.48,3.72,-5.92
66.8,-6.78,-14.78,15.28
66.9,4.04,1.298,22.2
67.1,11.3,31.4,9.74
67.2,9.5,29.2,-5.16
67.4,0.864,-8.36,-13.28
67.5,-3.4,-41.8,-19.24
67.7,5.92,-35.2,-12.18
67.8,9.9,-1.998,7.9
68,-11.14,18.84,13.12
68.1,-21.8,23,8.96
68.3,6.7,18.16,10.82
68.4,38.4,-4.26,-1.644
68.6,29.4,-21.6,-15.9
68.7,-25,6.12,3.62
68.9,-65.6,42,27.8
69,-28.8,12.5,10.38
69.2,36.6,-51.2,-28.8
69.3,43.2,-55.6,-41.2
69.5,-0.0484,6.04,-11.88
69.6,-28.6,57.6,28
69.8,-11.1,35.4,30
69.9,28.4,-31.4,0.00634
70.1,38.8,-52.4,-10.32
70.2,-4.62,-7.42,0.77
70.4,-53.8,39,-1.002
70.5,-34,34.8,-12.16
70.7,25.2,1.912,-5.76
70.8,26.8,-14.84,10.36
71,-6.12,-21.4,1.07
71.1,6.66,-17.7,-12.52
71.3,21,14.38,12.86
71.4,-12.54,27.8,34.8
71.6,-17.8,-19.18,-1.5
71.7,30.2,-56.6,-48
71.9,29.8,-7.42,-28
72,-37.8,74.4,33
72.2,-66.6,78.6,46
72.3,-21,2.88,1.876
72.5,33.8,-52,-23.8
72.6,42.8,-29.8,3.5
72.8,13.96,3.6,24.2
72.9,-13.54,-27,-13.16
73.1,-28.2,-54.4,-52.2
73.3,-10.96,6.1,-25.2
73.4,44.8,61.6,16.82
73.6,64,12.6,4.8
73.7,-3.6,-47.8,-15.2
73.9,-78.6,-16.36,10.26
74,-58.2,40,36.4
74.2,20.8,33.8,23
74.3,51.2,-0.61,4.38
74.5,28.4,-5.94,4.86
74.6,-1.474,7.62,-2.72
74.8,-27.4,11.22,-15.46
74.9,-37.2,3.4,0.448
75.1,-24.4,1.534,20.4
75.2,11,-0.504,-1.372
75.4,58.2,-31.8,-45.2
75.5,60.4,-64.8,-52.6
75.7,-15.28,-35,-7.2
75.8,-90.2,44.6,43.2
76,-60.2,80.4,43.4
76.1,46.2,20.6,-4.9
76.3,79.2,-46.2,-29.6
76.4,-6,-15.58,16.6
76.6,-56.8,34.8,49.6
76.7,15.3,-5.1,-6.68
76.9,81.8,-61.8,-61.4
77,28,-36.4,-31.6
77.2,-69,34.8,25.4
77.3,-95.2,78.4,46.6
77.5,-45.6,54.2,27
77.6,49.4,-24,-16.7
77.8,126.6,-77,-43.6
77.9,68.6,-46.8,-24.4
78.1,-95.4,19.06,8.72
78.2,-152.8,43,17.2
78.4,-19.32,31.4,17.5
78.5,119.6,19.86,30
78.7,96.2,-10.36,24.8
78.8,-9.52,-67.4,-30.2
79,-50.2,-84.8,-85.8
79.1,-34.4,0.28,-39.4
79.3,-19.62,108.2,73.6
