Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
45,13.1,-4.49,4.73
45.2,2.84,-1.84,5.24
45.3,-9.97,2.4,-1.49
45.5,-4.65,0.635,-4.08
45.6,7.68,-1.95,-0.891
45.8,3.14,2.09,1.62
45.9,-11,4.74,0.23
46.1,-10.3,-0.234,-2.99
46.2,9.35,-6.86,-1.63
46.4,18.4,-4.81,3.34
46.5,2.05,3.86,4.7
46.7,-5.12,2.36,2.99
46.8,2.56,-4.62,-0.304
47,-6.99,1.36,-5.54
47.1,-16.4,8.3,-5.81
47.3,1.28,-0.072,1.43
47.4,16.2,-8.02,4.99
47.6,5.15,-0.855,0.424
47.7,-6.41,6.09,-1.96
47.9,-3.27,0.613,0.592
48,-3.44,-2.95,-0.152
48.2,-6.82,2.04,-3.27
48.3,0.179,3.03,-1.52
48.5,3.46,-0.968,2.55
48.6,-1.44,-1.5,3.1
48.8,2.98,1.49,0.331
48.9,12.9,0.604,-0.476
49.1,13.6,-8.08,2.93
49.2,1.96,-11.6,2.34
49.4,-13.1,1,-4.26
49.5,-19,14.9,-5.68
49.7,-12.3,10.8,0.11
49.8,6.46,-5.21,3.42
50,20.2,-10.8,1.13
50.1,8.48,-1.69,0.641
50.3,-10.4,5.99,2.21
50.4,-9.05,4.84,-1.73
50.6,-0.00682,-0.716,-5.03
50.7,-3.52,-3.32,-1.15
50.9,-2.43,-0.913,1.83
51,13.3,0.477,0.827
51.2,14.9,-0.57,0.41
51.4,-0.259,-3.1,2.35
51.5,-12.2,-2.46,2.62
51.7,-20.8,9.98,-2.24
51.8,-13,20.5,-7.15
52,17,8.41,-7.01
52.1,34.7,-21.6,2.35
52.3,17.2,-42.9,18.5
52.4,-18.3,-22.8,18.4
52.6,-31.8,24.7,-4.66
52.7,-9.71,38.5,-19.7
52.9,8.05,11.7,-12.5
53,0.209,-3.75,-2.27
53.2,-0.423,-0.682,1.48
53.3,16.2,-9.34,5
53.5,17.5,-21.5,7.15
53.6,-13.8,-5.33,2.07
53.8,-35.5,33,-6.73
53.9,0.771,38.5,-9.79
54.1,46.4,-15,2.38
54.2,25.2,-60.2,17.2
54.4,-31.7,-28.9,6
54.5,-40,28.8,-12.4
54.7,8.82,20.4,3.93
54.8,43.2,-24.9,27
55,22.4,-12.4,5.43
55.1,-23.8,45.7,-36.6
55.3,-56.6,60.8,-40.2
55.4,-41.4,12.1,-2.88
55.6,30.3,-44.3,31.7
55.7,77.2,-54.1,30.4
55.9,19.9,-11.5,-3.59
56,-59.7,20.7,-24.5
56.2,-35,-1.67,0.0191
56.3,43.4,-15,22.5
56.5,44,21.6,1.65
56.6,-22.5,41.2,-19.4
56.8,-53.8,5.78,-7.92
56.9,-10.8,-38.5,8.61
57.1,59,-50,11.8
57.2,54.4,-20.6,7.98
57.4,-41,34.9,-2
57.5,-81.9,67.3,-12.4
57.7,-2.82,30.9,-10.8
57.8,57.4,-27.4,-5.14
58,16.2,-30.9,-1.47
58.1,-24.5,-5.47,8.9
58.3,3.24,-4.75,15.9
58.4,20.8,-11.2,6.25
58.6,-17.8,2.9,-9.27
58.8,-38.3,17.8,-12.7
58.9,7.17,6.51,0.192
59.1,54,-18.9,12.9
59.2,32.6,-23.7,7.81
59.4,-27.4,1.6,-9.88
59.5,-45.8,28.9,-18.1
59.7,-13.4,27.2,-5
59.8,11.8,5.77,13.3
60,5.99,-12.9,15.3
60.1,2.95,-23.4,2.63
60.3,18.7,-11.7,-8.81
60.4,10.5,10.5,-5.64
60.6,-16.5,-2.47,9.04
60.7,-0.639,-25.1,7.83
60.9,16.7,11.3,-20
61,-18.3,60,-29.5
61.2,-29.6,17.5,13.1
61.3,13,-61.1,45.5
61.5,18.8,-36.4,6.24
61.6,-11.4,38.5,-33.4
61.8,7.29,23.1,-4.17
61.9,34.8,-27.7,22.4
62.1,-10.7,-16.6,-2.93
62.2,-61.2,9.55,-21.7
62.4,-18.2,14.9,-10.7
62.5,58.1,20.3,0.558
62.7,51.1,17.5,7.85
62.8,-13.7,-6.58,16.5
63,-36.8,-38.5,14.9
63.1,-13.2,-41.6,-0.839
63.3,-0.62,-2.6,-14.7
63.4,-11.3,33.9,-8.32
63.6,-9.77,35.5,5.73
63.7,17.3,22.5,-0.199
63.9,33.8,11.8,-12.5
64,13.7,-19.2,-1.69
64.2,-15.3,-65.7,16
64.3,-27.6,-51,14.7
64.5,-23.8,37.7,-0.935
64.6,9.17,81.8,-20.8
64.8,42.9,17.6,-19.8
64.9,28.9,-57.8,16.6
65.1,-12.8,-42.9,32.4
65.2,-52.3,32.2,-9.69
65.4,-46.7,58.1,-33.4
65.5,34.3,-2.85,6.78
65.7,82.1,-37.9,20.5
65.9,7.82,13.5,-26.1
66,-77,18.9,-24.2
66.2,-47.9,-55.2,44.9
66.3,49.5,-53.3,54.5
66.5,77.3,37.9,-21.4
66.6,-8.18,65.5,-63.8
66.8,-88.8,-0.684,-21.6
66.9,-52.1,-36.1,31.8
67.1,55,7.5,27
67.2,83.7,28.4,-2.54
67.4,-0.756,-36.1,14.5
67.5,-50.3,-83.2,38.6
67.7,-8.5,-8.16,-7.31
67.8,11.2,94.8,-60.5
68,-9.09,77.6,-41
68.1,-2.39,-10.1,-7.12
68.3,16.6,-24.5,-3.65
68.4,10.7,6.67,35.7
68.6,-11.7,-34.5,85.5
68.7,-24.2,-66.9,15.4
68.9,-10.4,14.2,-91.2
69,21.7,65.7,-46.5
69.2,43.8,16.9,44.8
69.3,18.8,7.7,10.8
69.5,-50.1,30.4,-40.3
69.6,-90.5,-32.9,6.84
69.8,-28.6,-111,57.8
69.9,82.6,-53.4,30.2
70.1,93.5,71.6,-18.8
70.2,-6.11,38.1,-4.49
70.4,-59.3,-121,51.5
70.5,8.2,-82.4,20.6
70.7,78.6,188,-110
70.8,27,256,-127
71,-77.4,-13.3,36.6
71.1,-96.8,-206,129
71.3,-51.4,-112,41.1
71.4,-19.4,66.3,-42.4
71.6,24.8,132,-35
71.7,107,37.9,-29.4
71.9,141,-104,-35.9
72,56.1,-147,13.7
72.2,-90.5,-63.1,61.2
72.3,-180,109,27.6
72.5,-121,175,1.81
72.6,50.7,11.7,23.9
72.8,153,-120,-13.4
72.9,88,-34.4,-75.9
73.1,-27.9,57.8,-31.9
73.3,-47.4,-16.7,65.3
73.4,3.24,-114,88.3
73.6,8.35,-30.7,15.4
73.7,-37.9,146,-90.1
73.9,-41.2,154,-97.1
