Time (s),VEL-Z (nm/s),VEL-R (nm/s),VEL-T (nm/s)
84.9,60.2,158,100.2
85,135.2,186.4,69.8
85.2,63.8,37.4,-24
85.3,-115.4,-130,-60.6
85.5,-170.6,-206,-58.4
85.6,-44.6,-202,-84.2
85.8,86.4,-171,-128.6
85.9,92.2,-137.8,-138
86.1,17.76,-34,-59.6
86.2,-52.6,169,108.8
86.4,-98.8,324,258
86.5,-98.8,290,258
86.7,-20.6,137.4,115
86.8,106.4,-23.4,-74
87,157,-141.4,-192
87.1,57.2,-147.6,-156
87.3,-52.4,-63,-13.76
87.4,-9.74,-22.6,73
87.6,110.6,-39,40.6
87.8,82,-11.02,-8.72
87.9,-142.8,18.18,-36.2
88.1,-264,-42,-77.2
88.2,-76.8,-65,-48.6
88.4,144,52.8,75.2
88.5,92,129.6,121.4
88.7,-52.8,14.7,22.6
88.8,23.2,-115.8,-70.8
89,176.2,-55.4,-62.2
89.1,84.4,52.4,-28.8
89.3,-154,0.442,-25.8
89.4,-234,-72.8,3.48
89.6,-85.6,20.2,56.4
89.7,111.6,167,61.4
89.9,132,170.4,30
90,-3.18,32,28.6
90.2,-62.6,-102.8,47.2
90.3,52.2,-135,6.48
90.5,182,-89.8,-93.4
90.6,100,-43.8,-129.8
90.8,-129,2.84,-38.2
90.9,-180.4,76,82.4
91.1,-23.8,85.4,103.4
91.2,58.6,-20.4,19.78
91.4,8.02,-75.6,-47.4
91.5,-40.6,15.9,-42
91.7,-72.8,68.6,-43.4
91.8,-65.6,-33.4,-50
92,33.2,-109,11.42
92.1,121.2,-0.576,101
92.3,127.6,145.8,121.4
92.4,117,115.6,21.8
92.6,44.6,-48.8,-133.2
92.7,-164.6,-143.4,-182
92.9,-302,-100.8,-59.4
93,-123,-19.18,107.2
93.2,182.4,50,163.4
93.3,230,124,118
93.5,36.8,157,55.6
93.6,-83.6,72.4,-33
93.8,-69.6,-118,-152
93.9,-22.4,-254,-198.6
94.1,51.4,-153.2,-85.8
94.2,110.2,115.2,121.4
94.4,89.4,256,230
94.5,-14.28,108.8,101.8
94.7,-161.6,-152,-162.8
94.8,-234,-212,-252
95,-102.2,-25.8,-26.8
95.2,139.6,158,234
95.3,195,174.2,210
95.5,27.4,65.6,-5.26
95.6,-72.6,-64.4,-115.4
95.8,2.46,-128.6,-68.2
95.9,46.2,-94,-11.38
96.1,-20.8,-18.12,-12.76
96.2,-5.82,14.24,-28.8
96.4,120,-10.5,-52.2
96.5,105.2,-21,-83.8
96.7,-66.2,38.2,-29.8
96.8,-156.4,88.2,126.2
97,-144.2,30.4,190
97.1,-72,-78.2,23.8
97.3,97.8,-111.6,-188.2
97.4,202,2.02,-137.8
97.6,90,212,170.4
97.7,-91,314,370
97.9,-150.2,128.6,171.6
98,-79.8,-250,-270
98.2,-5.08,-436,-476
98.3,22.4,-196,-212
98.5,54,109.8,164.8
98.6,74.4,113.6,228
98.8,52.4,48,74
98.9,23.2,123.8,0.1578
99.1,13.9,87,-5.24
99.2,70.4,-126.2,-34
99.4,128,-147.4,-14.34
99.5,-22.4,96.6,35
99.7,-268,226,17.6
99.8,-236,58.8,-17.94
100,-5.78,-172.4,-18.76
100,20.8,-196.4,-24.2
100,-66.4,-14.7,-21
100,73.8,160.2,49.4
101,260,152.8,128
101,184.8,-33,67.8
101,6.94,-160.8,-86
101,-61.4,-5.22,-99.6
101,-74,204,3.12
101,-83.2,61.6,-46
101,-34.2,-252,-180.4
102,58.2,-234,-76.8
102,59.6,57.6,187.6
102,-68,144.8,224
102,-216,-38.4,-23.4
102,-226,-83.2,-176
102,23.6,162.2,-8.48
103,332,290,210
103,320,32,140.4
103,63.2,-250,-115.6
103,-114.4,-134.8,-186.4
103,-141,151.2,-26.6
103,-77.2,115.2,40
103,1.87,-186.4,-64.4
104,4.06,-302,-77.8
104,-60.4,-70.2,63.8
104,-68.6,242,140.2
104,19.52,310,69.2
104,117,129.6,8.58
104,121.4,-90.6,-6.16
105,-46.6,-212,-73.4
105,-246,-166.8,-129.4
105,-155.2,0.502,-58.2
105,160.4,134.6,97.4
105,254,164,180.2
105,55.2,47,49.2
105,-101.4,-208,-206
106,-61.8,-258,-218
106,64.6,116.2,129.2
106,116,398,358
106,27.4,93.8,96
106,-46.8,-352,-318
106,-12.14,-296,-350
106,-53.4,87.8,13.32
107,-234,264,332
107,-302,147,252
107,-61.2,-34.4,-83.6
107,298,-133.8,-242
107,388,-99.8,-87.2
107,135.8,36.2,125.2
108,-144.8,98.2,121.4
108,-175.4,15.28,-52
108,2.66,-59,-134.2
108,123.8,-22.6,-23.8
108,45.6,54.2,168.6
